candidate_id,game_index,accepted,reason,ranked_pair_count,adjudication_attempts,state_slot_within_game,pair_score,parent_game_sha256
cicero_g035_p023_ITALY,35,False,reconstruction_failed,,,,,
cicero_g035_p023_RUSSIA,35,False,reconstruction_failed,,,,,
cicero_g035_p018_ITALY,35,False,reconstruction_failed,,,,,
cicero_g035_p018_RUSSIA,35,False,reconstruction_failed,,,,,
cicero_g035_p003_RUSSIA,35,False,duplicate_parent_within_game,,,,,
cicero_g035_p020_ITALY,35,False,reconstruction_failed,,,,,
cicero_g035_p020_RUSSIA,35,False,reconstruction_failed,,,,,
cicero_g035_p003_TURKEY,35,False,duplicate_parent_within_game,,,,,
cicero_g035_p005_ITALY,35,True,accepted,,,1.0,180.0,cf9a027f3624c4c7e8afed578a53820c4158e43634c4b86041ae001d0e492f15
cicero_g036_p000_ENGLAND,36,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g036_p000_GERMANY,36,False,no_strict_divergent_pair,236.0,0.0,,,
cicero_g036_p001_ENGLAND,36,True,accepted,,,0.0,220.0,641aeb393e64ece80a9f07e75760a6f91d6a5746f24e578aa1ee3f1b01f0dca3
cicero_g036_p001_GERMANY,36,False,duplicate_parent_within_game,,,,,
cicero_g036_p025_ENGLAND,36,True,accepted,,,1.0,160.0,49c11161c7a972c03491954fc9f77fcca1dad279fe933df46b85959cff468369
cicero_g037_p009_ITALY,37,True,accepted,,,0.0,300.0,f59e4e63d9c52f7399fe75d61c77529496164c0aeb38509f9889ccfd2eede3c5
cicero_g037_p001_ITALY,37,True,accepted,,,1.0,200.0,8d2e84b08b59c1e20bc0556e1b6080d1d06af3d8d22eea3ebf918104fc3b2d51
cicero_g038_p000_TURKEY,38,False,no_strict_divergent_pair,104.0,0.0,,,
cicero_g038_p007_TURKEY,38,False,no_strict_divergent_pair,769.0,0.0,,,
cicero_g038_p001_TURKEY,38,True,accepted,,,0.0,200.0,c913afff8497a606b8e9fa40069889f4a441e5544524ddc97b6bc665c1e70fef
cicero_g038_p000_AUSTRIA,38,False,no_strict_divergent_pair,186.0,0.0,,,
cicero_g038_p003_TURKEY,38,True,accepted,,,1.0,220.0,9337cd7f8fe259cad9fa13c8a13518f6e91e3fa9151cd495850a8c0c97f1a887
cicero_g039_p004_ENGLAND,39,False,no_strict_divergent_pair,1679.0,0.0,,,
cicero_g039_p001_ENGLAND,39,True,accepted,,,0.0,180.0,bd6fac38add73cba5ee04b62d7ad9969ae72a2bf39ec3a31de81bdba0b0cc921
cicero_g039_p000_ENGLAND,39,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g039_p006_ENGLAND,39,False,no_strict_divergent_pair,1977.0,0.0,,,
cicero_g039_p016_ENGLAND,39,True,accepted,,,1.0,160.0,f5572826f17d782c902ad73f6a3d88c99274ba52592b138f8210883792edea10
